a,b,c,d,e,f,g,h,i,FE
2,4,6,0,0,2,2,1,0,41.52
2,4,6,0,0,2,2,0,0,60.1
2,4,6,0,0,2,2,0,0,58.54
2.5,5,5,0,0,2,2,1,0,39.57
2.5,5,6,0,0,2,2,1,0,40.02
2.4,5,5,1,0,2,2,1,0,39.35
2.4,5,5,0,0,2,2,1,0,39.3
2.5,5,5,1,0,2,2,1,0,40.6
2.5,5,6,0,0,2,2,1,0,40.4
2.5,5,5,1,0,2,2,1,0,37.8
2.5,5,6,0,0,2,2,1,0,37.8
2.4,5,5,1,0,2,2,1,0,39.35
2.4,5,5,0,0,2,2,1,0,39.3
2.5,5,5,1,0,2,2,1,0,40.6
2.5,5,6,0,0,2,2,1,0,40.4
3.7,6,5,1,0,2,2,1,1,30.9
3.5,6,5,1,0,2,2,1,1,36.8
3.7,6,5,1,0,2,2,1,1,34.3
3.7,6,6,0,0,2,2,1,1,34.4
3.2,6,1,0,0,2,2,1,1,38.9
3,6,6,1,0,2,2,1,0,34.73
4.2,8,6,1,0,2,2,1,0,31.5
4.2,8,6,1,0,2,2,1,0,31.5
5.2,10,6,0,0,2,2,1,0,26.7
6,12,6,1,0,2,2,1,0,23.27
3,6,6,1,0,2,2,1,1,38.17
3,6,6,0,0,2,2,1,1,38.79
3,6,6,1,0,2,2,1,1,34.78
3,6,6,0,0,2,2,1,1,35.46
3,6,6,1,0,2,2,1,0,35.88
3,6,6,0,0,2,2,1,0,35.71
3,6,6,1,0,2,2,1,0,34.73
3,6,6,1,0,2,2,1,0,34.29
4.8,8,6,1,0,2,2,1,1,30.54
4.8,8,6,1,0,2,2,1,1,31.37
5,10,6,1,0,2,2,1,0,23.23
5,10,7,1,0,2,2,1,0,23.62
2.4,4,6,1,0,2,2,1,0,41.7
3,6,6,1,0,2,2,1,0,36.1
3.6,6,6,1,0,2,2,1,0,38.1
3,6,6,1,0,2,2,1,0,34.4
3,6,6,1,0,2,2,1,0,38.3
3,6,6,0,0,2,2,1,0,36
3.6,6,6,0,0,2,2,1,0,34.9
3.6,6,6,1,0,2,2,1,0,40
6.2,8,6,1,0,1,1,0,0,24.98
6.2,8,6,0,0,1,1,0,0,26.3
3,6,6,1,0,2,2,1,0,36.1
3.6,6,6,1,0,2,2,1,0,37.2
3.6,6,6,1,0,2,2,1,0,40
4.6,8,6,1,0,2,2,0,0,34.1
3.6,6,6,1,0,2,2,1,0,37.2
4.6,8,6,1,0,2,2,0,0,30.3
2.4,4,4,1,0,2,2,1,0,42.8
2.4,4,6,1,0,2,2,1,0,46.9
2.4,4,4,1,0,2,2,1,0,42.6
2.4,4,6,1,0,2,2,1,0,46.8
3.5,6,4,1,0,1,1,1,0,40.3
3.5,6,4,1,0,1,1,1,0,41.2
3.6,6,6,1,0,2,2,1,0,35.6
2.4,4,4,1,0,2,2,1,0,48.1
2.4,4,4,1,0,2,2,1,0,41.7
2.7,6,4,1,0,2,2,0,0,38.3
3.5,6,6,1,0,2,2,0,0,37.6
2.4,4,4,1,0,2,2,1,0,41.7
2.7,6,4,1,0,2,2,0,0,38.3
3.5,6,6,1,0,2,2,0,0,37.6
5.7,12,6,0,0,2,2,1,0,21.7
5.7,12,6,0,0,2,2,1,0,21.3
3.5,6,6,1,1,2,2,1,0,33.5
3,6,6,1,1,2,2,1,0,35.47
2.5,4,6,1,0,2,2,1,0,42.91
2.5,4,6,0,0,2,2,1,0,40.2
3,6,6,1,1,2,2,1,0,37.9
3.5,6,6,1,1,2,2,1,0,37.4
2.5,4,1,0,0,2,2,1,0,51.6
2.5,4,6,0,1,2,2,1,0,44.2
2.5,4,6,1,0,2,2,1,0,47.65
2,4,4,1,0,2,2,1,0,47.7
2,4,5,0,0,2,2,1,0,48.2
2,4,5,0,0,2,2,1,0,49.22
3.7,6,6,0,0,2,2,1,1,34.73
3.7,6,7,1,0,2,2,1,1,37.07
3.7,6,7,1,0,2,2,1,1,35.16
4.2,8,6,1,0,2,2,1,0,34.49
5,8,6,1,0,2,2,1,0,29.76
5,8,6,1,0,2,2,1,1,32.67
2.4,4,5,1,0,2,2,1,0,44.6
2.4,4,5,0,0,2,2,1,0,44.6
2.7,6,5,1,0,2,2,1,0,39.8
3.5,6,6,1,0,2,2,1,0,38.3
3.5,6,6,1,0,2,2,1,0,36.56
3.5,6,6,1,0,2,2,1,0,34.75
4.6,8,8,1,0,2,2,1,0,34.05
4.6,8,8,1,0,2,2,1,0,33.55
4.6,8,8,1,0,2,2,1,0,32.15
4.6,8,8,1,0,2,2,1,0,33.55
4.6,8,8,1,0,2,2,1,0,32.15
5,8,1,0,0,2,2,1,0,30.3
3,6,6,1,1,2,2,1,0,35.47
2.5,4,6,1,0,2,2,1,0,42.91
2.5,4,6,0,1,2,2,1,0,40.2
3,6,6,1,1,2,2,1,0,37.9
2.5,4,1,0,0,2,2,1,0,51.6
2.5,4,6,1,1,2,2,1,0,47.65
2.5,4,6,0,1,2,2,1,0,44.2
3.5,6,6,1,0,2,2,1,0,33.5
3.5,6,6,1,0,2,2,1,0,37.4
2.5,4,6,0,0,2,2,1,0,40.19
2.5,4,5,1,0,2,2,1,0,41.66
3.7,6,6,1,0,2,2,1,0,34.82
2.3,4,6,0,0,2,2,1,0,34.7
3.5,6,7,1,0,2,2,1,0,36.2
3.5,6,7,1,0,2,2,1,0,33.2
5.5,8,7,1,0,2,2,1,0,33
5.5,8,7,1,0,2,2,1,0,32.3
6.3,8,7,1,0,2,2,1,0,27.12
2.4,4,4,1,0,2,2,0,1,42.21
2.5,4,1,1,0,2,2,1,0,45.67
3.5,6,6,0,0,2,2,1,0,37.95
3.5,6,1,1,0,2,2,1,0,38.03
2.5,4,1,1,0,2,2,1,0,46.6
3.5,6,1,1,0,2,2,1,0,36.41
2,4,6,0,0,2,2,1,0,43
2,4,1,1,0,2,2,1,0,47.51
2.5,4,6,0,0,2,2,1,0,39.6
2.5,4,1,1,0,2,2,1,0,42.7
1.6,4,4,1,0,2,2,1,0,46.5
1.6,4,5,0,0,2,2,1,0,47.3
1.8,4,1,1,0,2,2,1,0,47.5
1.8,4,4,1,0,2,2,1,0,44.9
1.8,4,6,0,0,2,2,1,0,44.2
6.7,12,6,1,0,2,2,1,0,24.2
2.8,6,6,0,0,2,2,1,0,37.12
2.4,4,6,1,0,2,2,1,0,46.9
2.4,4,6,1,0,2,2,1,0,46.8
3.6,6,6,1,0,2,2,1,0,35.6
2.5,4,6,0,0,2,2,0,1,37.06
2.5,4,6,0,0,2,2,1,0,34.6
2.5,4,1,1,0,2,2,0,1,42.92
3.6,6,5,1,0,2,2,0,1,34.27
2.5,4,6,0,0,2,2,1,0,46.8
2.5,4,6,1,0,2,2,1,0,45.06
3.5,6,6,1,0,2,2,1,0,39.8
2.4,4,1,0,0,2,2,1,0,48.2
1.8,4,1,0,0,2,2,1,0,69.64
2,4,6,0,0,2,2,1,0,42
3,6,6,1,0,2,2,1,0,32
4.4,8,6,1,0,2,2,1,0,30.8
3.2,6,6,1,0,2,2,1,0,36.4
4.2,8,6,1,0,2,2,1,0,31.5
3,6,8,1,0,2,2,1,1,39.49
4.4,8,8,1,0,2,2,1,0,30.95
4.4,8,8,1,0,2,2,1,0,30.56
4.4,8,6,1,0,2,2,1,0,30.17
4.4,8,6,1,0,2,2,1,0,27.7
4.4,8,6,1,0,2,2,1,0,29.45
4.4,8,6,1,0,2,2,1,0,27.7
6,12,8,1,0,2,2,1,0,26.75
3.9,6,4,1,0,1,1,1,0,37.3
3.9,6,4,1,0,1,1,1,0,36.6
4.6,8,4,1,0,2,2,0,0,31.9
4.6,8,4,1,0,2,2,0,0,31.9
4.6,8,4,1,0,2,2,0,0,31.9
4.6,8,4,1,0,2,2,0,0,22.7
4.6,8,4,1,0,2,2,0,0,24.5
3.5,6,4,1,0,1,1,1,0,40.3
3.5,6,4,1,0,1,1,1,0,41.2
3.9,6,4,1,0,1,1,1,0,37.3
3.5,6,5,1,0,2,2,0,0,32.1
5.7,8,5,1,0,1,1,1,0,31.9
2.7,6,4,1,0,2,2,0,0,35.7
3.5,6,4,1,0,2,2,0,0,34.2
5.7,8,5,1,0,1,1,1,0,34.5
6.1,8,5,1,0,1,1,0,0,26
2.7,6,4,1,0,2,2,0,0,35.7
3.5,6,4,1,0,2,2,0,0,34.2
5.7,8,5,1,0,1,1,1,0,34.5
6.1,8,5,1,0,1,1,0,0,26
3.5,6,5,1,0,2,2,0,0,32.1
5.7,8,5,1,0,1,1,1,0,31.9
4.6,8,4,1,1,1,1,0,0,33.31
3.5,6,6,1,1,2,2,1,0,34.9
3.5,6,6,1,1,2,2,1,0,34.7
3.5,6,6,1,0,2,2,1,0,37.4
3.5,6,6,1,0,2,2,1,0,27.8
2.4,4,5,0,0,2,2,1,1,43.1
2.4,4,5,1,0,2,2,1,1,43.29
3.5,6,5,1,0,2,2,1,1,41.2
3.3,6,5,1,0,2,2,1,0,36.2
3.8,6,5,1,0,2,2,1,0,35.6
3.8,6,6,1,0,2,2,1,0,38.3
4.6,8,6,1,0,2,2,1,0,34.2
2.4,4,5,1,0,2,2,1,0,44.4
2.4,4,5,0,0,2,2,1,0,44.8
3.3,6,5,1,0,2,2,1,0,40.1
3.5,6,7,1,0,2,2,1,0,34.2
3.5,6,5,1,0,2,2,1,0,30.55
4.5,8,5,1,0,2,2,1,0,29.6
4.5,8,5,1,0,2,2,1,0,27.2
5,8,6,1,0,2,2,1,0,29.76
5,8,6,1,0,2,2,1,1,32.67
5,8,6,1,0,2,2,1,1,31.07
4.6,8,4,1,1,1,1,0,0,33.31
3.5,6,6,1,1,2,2,1,0,31.5
3.5,6,6,1,1,2,2,1,0,34.7
3.5,6,6,1,1,2,2,1,0,33
4.6,8,4,1,1,1,1,0,0,33.31
4.2,8,6,0,0,2,2,1,0,24.18
4.7,8,6,0,0,2,2,1,0,25.51
5.5,12,5,1,0,2,1,1,0,21.4
6,12,5,1,0,2,1,1,0,21.4
6,12,5,1,0,2,1,1,0,21.7
5.5,8,7,1,0,2,2,1,0,32
5.5,8,7,1,0,2,2,1,0,29.8
5.5,12,5,1,0,2,1,1,0,23.9
6.3,8,7,1,0,2,2,1,0,24.6
6,12,5,1,0,2,1,1,0,23.1
3.5,6,7,1,0,2,2,1,0,35
4.8,8,7,1,0,2,2,1,1,33.26
4.8,8,7,1,0,2,2,1,1,33.26
4.8,8,7,1,0,2,2,1,1,32.03
6.6,12,8,1,0,2,2,1,0,27.3
6.7,12,6,1,0,2,2,1,0,24.2
3.5,6,6,1,0,2,2,1,0,39.8
2,4,6,0,0,2,2,1,0,40.4
2,4,6,0,0,2,2,1,0,38.87
2,4,6,0,0,2,2,0,0,60.1
2,4,6,0,0,2,2,1,0,37.1
2,4,6,1,0,2,2,1,1,37.8
3,6,6,1,0,2,2,1,1,38.17
3,6,6,1,0,2,2,1,1,36.8
3,6,6,1,0,2,2,1,1,35.54
3,6,6,0,0,2,2,1,1,35.46
3,6,6,1,0,2,2,1,0,38.3
3.6,6,6,1,0,2,2,1,0,37
